id,name,population
72,Lodz,645693
2255,Warszawa,1800000
60,Kraków,809168
69,Wrocław,672882
79,Poznań,536151
85,Gdańsk,488651
94,Szczecin,386706
100,Lublin,328305
102,Bydgoszcz,324043
110,Białystok,290386
116,Katowice,278885
124,Gdynia,240084
138,Częstochowa,203615
140,Rzeszów,198317
143,Radom,193777
145,Toruń,193717
149,Sosnowiec,184988
151,Kielce,180537
158,Gliwice,168248
161,Olsztyn,166392
164,BielskoBiała,164318
174,Zabrze,152461
179,Bytom,146290
182,Zielona Góra,138869
190,Rybnik,129817
193,Ruda Śląska ,128793
196,Opole,125492
199,Tychy,121063
201,Gorzów Wielkopolski,114700
205,Dąbrowa Górnicza,112408
207,Elbląg,112052
210,Płock,110015
212,Koszalin,105263
216,Tarnów,102123
